"V1","V2","V3","SommeTotMeta","SommePatchMean","PrevLocalMean","PopulSiteI","PopulSiteS","InfectDens","SuscepDens","list_paramsS","list_paramsI"
0.0805400420649785,0.0814552660505079,0.0833412922410755,12670.1088911089,158.376361138861,0.638505524638289,101.124181559272,39.4976634355042,79.7245508982036,80,0.1,0.1
0.103216873262666,0.100500262817229,0.103401387127052,9653.35564435564,120.666945554446,0.589558477848344,71.1402207476879,31.6643769198723,79.7744510978044,79.9880239520958,0.1,0.2
0.108189105401542,0.10815002104776,0.108834976498825,8414.65584415584,105.183198051948,0.551322170185028,57.9898290170016,29.2053588552797,79.9141716566866,80,0.1,0.3
0.127320463927099,0.127255265296651,0.126731577879521,7134.16633366633,89.1770791708292,0.504164851621555,44.9599488882047,26.1882094266223,79.9261477045908,80,0.1,0.4
0.142588272869955,0.141961765361551,0.142838530898863,6352.33796203796,79.4042245254745,0.464762381936023,36.9040965262423,24.4755979252815,79.9301397205589,80,0.1,0.5
0.148365900663009,0.147628192822268,0.146984401753089,5977.11401931402,74.7139252414252,0.437145397264652,32.6608485308644,24.019391078331,79.8982035928144,80,0.1,0.6
0.176151072067464,0.178765835902057,0.179047577562725,5243.92617382617,65.5490771728272,0.395762595212659,25.941872895713,21.6738356843578,79.8423153692615,80,0.1,0.7
0.174512439675908,0.173901498061067,0.17314693702948,5190.52420912421,64.8815526140526,0.378852008213975,24.5805065038745,22.3621645065895,79.8962075848303,80,0.1,0.8
0.185857428652324,0.183969378151008,0.181419383106148,4947.3996003996,61.842495004995,0.359010722114126,22.2021187890825,21.7339168594037,79.8802395209581,80,0.1,0.9
0.200317899387959,0.200368057729062,0.195604459008519,4717.04968364968,58.9631210456211,0.336368262013278,19.8333225489941,21.1953863072717,79.8982035928144,79.9960079840319,0.1,1
0.22650092539956,0.226415560422299,0.227585528384362,4364.97317682318,54.5621647102897,0.269545593000201,14.7069910422097,21.7742330586081,80,80,0.1,1.5
0.230275002012092,0.234601650856346,0.238935557567411,4288.39067599068,53.6048834498834,0.258425536169244,13.852870746826,21.6969072594073,80,80,0.1,1.6
0.255810062238803,0.256863015306704,0.255750706243504,4164.75489510489,52.0594361888112,0.245928209867228,12.8028839486115,21.2563513490729,80,80,0.1,1.7
0.247239375617033,0.247648904179047,0.248009056781631,4227.45036630037,52.8431295787546,0.242250935270792,12.801297563089,22.0325434981685,79.9920159680639,80,0.1,1.8
0.0807851142661255,0.0801062531204884,0.079894428909268,12414.1988011988,155.177485014985,0.618378997434193,95.958497607926,41.6209857916345,79.6427145708583,80,0.2,0.1
0.0965323146173304,0.0959697026471142,0.0971958361705415,9574.23992673993,119.677999084249,0.57703578605853,69.0584882754917,32.6268694385783,79.9600798403194,80,0.2,0.2
0.112531526563585,0.113148812852761,0.114353620710933,7938.13436563437,99.2266795704296,0.531075848594643,52.6968930560946,28.479711954712,79.9261477045908,80,0.2,0.3
0.126082507364321,0.125719220735801,0.127984087465964,6951.87162837163,86.8983953546454,0.486794021419987,42.3016193296317,26.5742185293609,79.9181636726547,80,0.2,0.4
0.133853775722972,0.133831898697834,0.13503640434685,6405.17189477189,80.0646486846487,0.450303415634472,36.0533847742713,25.9601955797367,79.9620758483034,80,0.2,0.5
0.14490081477613,0.148083589789967,0.152591251770215,5808.41418581419,72.6051773226773,0.418254062263922,30.3674103566022,24.1874614573191,79.9820359281437,80,0.2,0.6
0.176573534612281,0.176713733366521,0.174271773677695,5128.40193140193,64.1050241425241,0.378865107983124,24.2871568940181,21.8883334755961,79.9081836327345,80,0.2,0.7
0.182687697723666,0.181716827996244,0.180523473350709,4996.69380619381,62.4586725774226,0.360300167486135,22.503870190607,22.0919640486096,79.9520958083832,80,0.2,0.8
0.181634600500418,0.185655700601366,0.185228219017623,4857.15790875791,60.7144738594739,0.341674124285061,20.744564687364,22.0509409927679,79.9121756487026,80,0.2,0.9
0.190358940329391,0.191034187257808,0.192346122723888,4727.20402930403,59.0900503663004,0.320068573989106,18.9128681576862,22.0642139110889,80,80,0.2,1
0.243499210861619,0.241012094373589,0.238134108372766,4231.28786213786,52.8910982767233,0.245215947304397,12.9697407678967,21.913704004329,80,80,0.2,1.6
0.221623952175607,0.222678134765679,0.227571606597898,4351.9974025974,54.3999675324675,0.24165016241354,13.1457609895121,23.2091533466533,80,80,0.2,1.7
0.260155241669738,0.259554599574149,0.258124140679885,4142.63534798535,51.7829418498169,0.227521788182391,11.7817475270151,22.1069316100566,80,80,0.2,1.8
0.0802869500716631,0.0792592939926639,0.0797097417926621,11987.0514485514,149.838143106893,0.600431863590585,89.9675955026246,42.1701488385033,79.6826347305389,80,0.3,0.1
0.114445630821502,0.111540354238375,0.10640368587535,8474.18937728938,105.927367216117,0.543319736435456,57.5524292371625,30.4141282430109,79.8702594810379,80,0.3,0.2
0.109009239098597,0.111048668307036,0.11136409209454,7679.01055611056,95.9876319513819,0.505662218226785,48.537318894872,29.5044205611818,79.7325349301397,79.9940119760479,0.3,0.3
0.134405083444544,0.133604471364068,0.132841550727933,6478.33373293373,80.9791716616717,0.46095496465685,37.3277512112468,25.5924314156848,79.9281437125749,80,0.3,0.4
0.136745315774364,0.139090595414171,0.1406764059827,6030.10899100899,75.3763623876124,0.427780528632319,32.2445401485541,25.1376020076969,79.8862275449102,80,0.3,0.5
0.156822018010934,0.155926346247668,0.154093773909609,5492.08178488178,68.6510223110223,0.39318526353398,26.9925702992365,23.6911513321689,79.8902195608783,80,0.3,0.6
